EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
977,4.04,39798,13266,0,13266,1989,2383,9462,0,0,0,0,0
978,3.76,7200,2400,0,2400,476,1468,2700,0,0,0,0,0
979,4.28,39798,13266,0,13266,2048,2582,9462,0,0,0,0,0
980,3.80,7200,2400,0,2400,448,3764,2700,0,0,0,0,0
981,4.24,39798,13266,0,13266,2306,6106,9462,0,0,0,0,0
982,14.56,165312,55104,0,55104,14708,1399748,39744,0,0,0,0,0
983,4.20,27378,9126,0,9126,1690,14349,6510,0,0,0,0,0
984,4.08,24516,8172,0,8172,1674,19971,5796,0,0,0,0,0
985,12.96,27378,9126,0,9126,4344,2124843,6510,0,0,0,0,0
986,15.80,24516,8172,0,8172,4253,2757248,5796,0,0,0,0,0
987,1.84466E+17,504,168,0,168,456,0,300,0,0,0,0,0
988,0.00,260712,86904,0,86904,40234,0,73980,0,0,0,0,0
989,0.00,180,60,0,60,216,0,120,0,0,0,0,0
1004,0.00,65520,21840,0,21840,4207,27872,20226,0,0,0,0,0
1005,0.00,8424,2808,0,2808,752,6732,3198,0,0,0,0,0
1006,0.00,39798,13266,0,13266,2419,11059,9462,0,0,0,0,0
1007,0.00,24516,8172,0,8172,3153,749525,5796,0,0,0,0,0
1008,0.00,1944,648,0,648,508,6275665,780,0,0,0,0,0
1009,0.00,5040,1680,0,1680,1171,496895,3408,0,0,0,0,0
1010,0.00,41976,13992,0,13992,6909,39336822,12678,0,0,0,0,0
1011,0.00,26208,8736,0,8736,3047,731574,10500,0,0,0,0,0
1012,0.00,52128,17376,0,17376,7662,816074,19662,0,0,0,0,0
1013,0.00,288,96,0,96,116,0,96,0,0,0,0,0
1014,0.00,41976,13992,0,13992,7045,42353,12678,0,0,0,0,0
1015,0.00,19728,6576,0,6576,2268,0,7200,0,0,0,0,0
1016,0.00,66240,22080,0,22080,7714,48624,38808,0,0,0,0,0
1017,0.00,3672,1224,0,1224,945,0,1308,0,0,0,0,0
1018,0.00,3672,1224,0,1224,944,92,1284,0,0,0,0,0
1019,0.00,2664,888,0,888,652,0,852,0,0,0,0,0
1020,1.73140E+12,2880,960,0,960,178,0,792,0,0,0,0,0
1021,3.00,2016,672,0,672,86,0,744,0,0,0,0,0
1022,3.00,2880,960,0,960,189,0,792,0,0,0,0,0
1023,3.00,2016,672,0,672,104,0,744,0,0,0,0,0
1024,3.32,2880,960,0,960,273,0,792,0,0,0,0,0
1025,3.04,2016,672,0,672,115,0,744,0,0,0,0,0
1026,3.24,2880,960,0,960,268,0,792,0,0,0,0,0
1027,3.16,2016,672,0,672,135,0,744,0,0,0,0,0
1028,3.16,2880,960,0,960,261,0,792,0,0,0,0,0
1029,3.20,2016,672,0,672,161,0,744,0,0,0,0,0
1030,2.96,2880,960,0,960,196,0,792,0,0,0,0,0
1031,3.24,2016,672,0,672,159,0,744,0,0,0,0,0
1032,3.12,2880,960,0,960,244,0,792,0,0,0,0,0
1033,2.96,2016,672,0,672,156,0,744,0,0,0,0,0
1034,3.40,2880,960,0,960,266,0,792,0,0,0,0,0
1035,3.04,2016,672,0,672,138,0,744,0,0,0,0,0
1036,3.28,2880,960,0,960,263,0,792,0,0,0,0,0
1037,3.24,2016,672,0,672,158,0,744,0,0,0,0,0
1038,4.16,7920,2640,0,2640,1416,0,5352,0,0,0,0,0
1039,6.52,576,192,0,192,232,0,336,0,0,0,0,0
1040,5.96,5040,1680,0,1680,1149,0,3408,0,0,0,0,0
1041,1.84466E+17,972,324,0,324,399,33481700,396,0,0,0,0,0
1042,0.00,4356,1452,0,1452,602,197638,1908,0,0,0,0,0
1043,0.00,432,144,0,144,52,328,288,0,0,0,0,0
1044,1.73140E+12,1476,492,0,492,193,1074,588,0,0,0,0,0
1045,3.12,432,144,0,144,46,0,288,0,0,0,0,0
1046,4.36,10008,3336,0,3336,931,56894,4260,0,0,0,0,0
1047,10.96,900,300,0,300,424,0,552,0,0,0,0,0
1048,10.44,61344,20448,0,20448,5518,644182,35754,0,0,0,0,0
1049,15.04,900,300,0,300,440,1758963,552,0,0,0,0,0
1050,1.84466E+17,90,30,0,30,88,27333117,42,0,0,0,0,0
